,Authority,Event-code,Influence,Description ENG,Description ORI,Event-class,Event-class Description,mapped_status,is_granted
0,AR,FA,-,ABANDONMENT OR WITHDRAWAL,ABANDONO O RETIRO,B,APPLICATION DISCONTINUATION,DEAD,False
1,AR,FB,-,SUSPENSION OF GRANTING PROCEDURE,SUSPENSION DEL PROCESO DE CONCESION,T,ADMINISTRATIVE PROCEDURE ADJUSTMENT,PENDING,False
2,AR,FC,-,REFUSAL,DENEGACION,B,APPLICATION DISCONTINUATION,DEAD,False
3,AR,FD,-,"APPLICATION DECLARED VOID OR LAPSED, E.G., DUE TO NON-PAYMENT OF FEE","SOLICITUD DECLARADA NULA O CADUCADA, POR EJEMPLO, POR IMPAGO DE LAS TASAS",B,APPLICATION DISCONTINUATION,DEAD,False
4,AR,FG,+,"GRANT, REGISTRATION","CONCESION, REGISTRO",F,IP RIGHT GRANT,ALIVE,False
5,AT,A1AW,-,REVOCATION OF PUBLISHED EXAMINED APPLICATION,AUFGEBOTSWIDERRUF,B,APPLICATION DISCONTINUATION,DEAD,False
6,AT,A1B,,CORRECTION,BERICHTIGUNG,,,NEUTRAL,False
7,AT,A1J,-,WITHDRAWAL PARAGRAPH 166 LIT. 6,ZURUECKGENOMMEN PAR. 166 ABS. 6,B,APPLICATION DISCONTINUATION,DEAD,False
8,AT,A1V,-,REFUSAL,PATENTVERSAGUNG,B,APPLICATION DISCONTINUATION,DEAD,False
9,AT,A1WE,+,CONCESSION OF RESTITUTION,WIEDEREINSETZUNGSBEWILLIGUNG,C,APPLICATION REVIVAL,ALIVE,False
10,AT,A1WR,-,REVOCATION,WIDERRUF,,,DEAD,False
11,AT,A1Z,-,WITHDRAWN,ZURUECKGEZOGEN,B,APPLICATION DISCONTINUATION,DEAD,False
12,AT,AJI,+,ERRONEOUS WITHDRAWAL,IRRTUEMLICH ZURUECKGENOMMEN,Y,CORRECTION AND DELETION OF EVENT INFORMATION,NEUTRAL,False
13,AT,AZ,-,WITHDRAWN,ZURUECKGEZOGEN,B,APPLICATION DISCONTINUATION,DEAD,False
14,AT,EB,,CORRECTION OF GRANT,BERICHTIGUNG EINER ERTEILUNG,,,NEUTRAL,False
15,AT,EBA,,NOTIFICATION SUSPENDED (E-SERIES),BEKANNTMACHUNG AUFGEHOBEN (E-SERIE),T,ADMINISTRATIVE PROCEDURE ADJUSTMENT,NEUTRAL,False
16,AT,EDES,-,AT NOT NOMINATED AS A DESIGNATED STATE,AT NICHT ALS VERTRAGSSTAAT BENANNT,W,OTHER,UNKNOWN,False
17,AT,EEB,,CORRECTION OF GRANT,BERICHTIGUNG EINER ERTEILUNG,,,NEUTRAL,False
18,AT,EECC,,CORRECTIONS OF CLAIMS AS TO PAR. 4/2 FILED,BERICHTIGUNG DER PATENTANSPRUECHE GEMAESS PAR. 4/2 EINGEREICHT,W,OTHER,NEUTRAL,False
19,AT,EEFA,,CHANGE OF THE COMPANY NAME,FIRMENAENDERUNG,R,PARTY DATA CHANGE,NEUTRAL,False
20,AT,EEGN,-,PATENT NOT VALID IN AUSTRIA,GILT ALS NICHT ERTEILT,W,OTHER,UNKNOWN,False
21,AT,EEIH,,CHANGE IN THE PERSON OF PATENT OWNER,AENDERUNG IN DER PERSON DES INHABERS,R,PARTY DATA CHANGE,NEUTRAL,False
22,AT,EEK,-,PROCLAMATION AS TO PARAGRAPH 128 PATENT LAW,KUNDMACHUNG GEM. PAR. 128 PATG.,Y,CORRECTION AND DELETION OF EVENT INFORMATION,NEUTRAL,False
23,AT,EEK1,,PROCLAMATION AS TO PARAGRAPH 128 PATENT LAW,KUNDMACHUNG GEM. PARAGRAPH 128 PATG,Y,CORRECTION AND DELETION OF EVENT INFORMATION,NEUTRAL,False
24,AT,EELA,-,CANCELLED DUE TO LAPSE OF TIME,ERLOSCHEN DURCH ZEITABLAUF,H,IP RIGHT CESSATION,DEAD,False
25,AT,EELB,,CORRECTION OF A CANCELLATION,BERICHTIGUNG EINER LOESCHUNG,Y,CORRECTION AND DELETION OF EVENT INFORMATION,NEUTRAL,False
26,AT,EELI,+,ERRONEOUS LAPSE OF AN EP NUMBER,IRRTUEMLICHE LOESCHUNG EINER EP NUMMER,Y,CORRECTION AND DELETION OF EVENT INFORMATION,NEUTRAL,False
27,AT,EELJ,-,LAPSED DUE TO NON-PAYMENT OF THE ANNUAL FEE,ERLOSCHEN DURCH NICHTZ. D. JAHRESGEB.,,,DEAD,False
28,AT,EELV,-,LAPSED DUE TO WITHDRAWAL,ERLOSCHEN DURCH VERZICHT,B,APPLICATION DISCONTINUATION,DEAD,False
29,AT,EEN,-,DECLARATION OF NULLIFICATION,NICHTIGERKLAERUNG,H,IP RIGHT CESSATION,DEAD,False
30,AT,EENE,,NOMINATION OF INVENTOR,NENNUNG ALS ERFINDER,R,PARTY DATA CHANGE,NEUTRAL,False
31,AT,EEPA,,CORRECTION: FIRST CLAIM,BERICHTIGUNG: PATENTANSPRUCH 1,,,NEUTRAL,False
32,AT,EETN,-,DECLARATION OF NULLIFICATION IN PART,TEILNICHTIGERKLAERUNG,M,IP RIGHT MAINTENANCE,DEAD,False
33,AT,EETR,,CORRECTION OF THE TRANSLATION AS TO PAR. 6/3 PATV-EG,BERICHTIGUNG DER UEBERSETZUNG GEM. PAR. 6 ABS. 3 PATV-EG,P,RE-PUBLICATION OF DOCUMENT AFTER MODIFICATION,PENDING,False
34,AT,EETV,-,PARTIALLY WITHDRAWN,TEILVERZICHT,M,IP RIGHT MAINTENANCE,UNKNOWN,False
35,AT,EEVS,,CORRECTION: LANGUAGE OF PUBLICATION,BERICHTIGUNG: VEROEFFENTLICHUNGSSPRACHE,,,PENDING,False
36,AT,EEWE,+,AUTHORIZATION FOR RESTITUTION,WIEDEREINSETZUNGSBEWILLIGUNG,K,IP RIGHT REVIVAL,ALIVE,False
37,AT,EEZF,+,GRANT FOR A CERTIFICATE OF PROTECTION (E-SERIES),ERTEILUNG EINES SCHUTZZERTIFIKATES (E-SERIE),G,PROTECTION BEYOND IP RIGHT TERM,ALIVE,False
38,AT,EFA,,CHANGE IN THE COMPANY NAME,FIRMENAENDERUNG,R,PARTY DATA CHANGE,NEUTRAL,False
39,AT,EGA,-,DECISION OF GRANT WAS REVOKED,DIE ERTEILUNG WURDE AUFGEHOBEN,F,IP RIGHT GRANT,DEAD,False
40,AT,EIH,,CHANGE IN THE PERSON OF PATENT OWNER,AENDERUNG IN DER PERSON DES INHABERS,R,PARTY DATA CHANGE,NEUTRAL,False
41,AT,EK,+,PROCLAMATION AS TO PARAGRAPH 128 PATENT LAW (REINSTATEMENT AFTER ERRONEOUS INVALIDATION BY THE PATENT OFFICE),KUNDMACHUNG GEM. PAR. 128 PATG.,Y,CORRECTION AND DELETION OF EVENT INFORMATION,ALIVE,False
42,AT,ELA,-,EXPIRED DUE TO LAPSE OF TIME,ERLOSCHEN DURCH ZEITABLAUF,H,IP RIGHT CESSATION,DEAD,False
43,AT,ELI,+,ERRONEOUS LAPSE,IRRTUEMLICHE LOESCHUNG,Y,CORRECTION AND DELETION OF EVENT INFORMATION,NEUTRAL,False
44,AT,ELJ,-,CEASED DUE TO NON-PAYMENT OF THE ANNUAL FEE,ERLOSCHEN DURCH NICHTZ. D. JAHRESGEB.,H,IP RIGHT CESSATION,DEAD,False
45,AT,ELV,-,CEASED DUE TO RENUNCIATION,ERLOSCHEN DURCH VERZICHT,H,IP RIGHT CESSATION,DEAD,False
46,AT,EN,-,DECLARATION OF NULLIFICATION,NICHTIGERKLAERUNG,H,IP RIGHT CESSATION,DEAD,False
47,AT,ENE,,INVENTOR NAMED,NENNUNG ALS ERFINDER,R,PARTY DATA CHANGE,NEUTRAL,False
48,AT,EPS,-,PROCESS SUSPENDED BEFORE GRANT OF PATENT,DAS VERFAHREN WURDE VOR DER PATENTERTEILUNG AUSGESETZT,T,ADMINISTRATIVE PROCEDURE ADJUSTMENT,UNKNOWN,True
49,AT,ESZA,+,APPLICATION FILED FOR A CERTIFICATE OF PROTECTION (E-SERIES),ANMELDUNG EINES SCHUTZZERTIFIKATES (E-SERIE),G,PROTECTION BEYOND IP RIGHT TERM,PENDING,False
50,AT,ESZL,-,CERTIFICATE OF PROTECTION EXPIRED (E-SERIES),SCHUTZZERTIFIKAT ERLOSCHEN (E-SERIE),H,IP RIGHT CESSATION,DEAD,False
51,AT,ESZP,,APPLICATION FOR PROLONGATION OF SPC,ANTRAG AUF VERLAENGERUNG DER LAUFZEIT EINES SCHUTZZERTIFIKATS,G,PROTECTION BEYOND IP RIGHT TERM,PENDING,False
52,AT,ESZW,-,CERTIFICATE OF PROTECTION REJECTED (E-SERIES),SCHUTZZERTIFIKAT ZURUECKGEWIESEN (E-SERIE),G,PROTECTION BEYOND IP RIGHT TERM,NEUTRAL,False
53,AT,ESZX,,CORRECTION TO GRANTED SPC,BERICHTIGUNG ZU ERTEILTEM SCHUTZZERTIFIKAT,P,RE-PUBLICATION OF DOCUMENT AFTER MODIFICATION,PENDING,False
54,AT,ESZZ,-,CERTIFICATE OF PROTECTION WITHDRAWN (E-SERIES),SCHUTZZERTIFIKAT ZURUECKGEZOGEN (E-SERIE),G,PROTECTION BEYOND IP RIGHT TERM,NEUTRAL,False
55,AT,ETN,-,DECLARATION OF NULLIFICATION IN PART,TEILNICHTIGERKLAERUNG,M,IP RIGHT MAINTENANCE,DEAD,False
56,AT,ETV,-,PARTIAL RENUNCIATION,TEILVERZICHT,M,IP RIGHT MAINTENANCE,DEAD,False
57,AT,EWE,+,AUTHORIZATION FOR RESTITUTION,WIEDEREINSETZUNGSBEWILLIGUNG,K,IP RIGHT REVIVAL,ALIVE,False
58,AT,EZF,+,GRANT OF A CERTIFICATE OF PROTECTION,ERTEILUNG EINES SCHUTZZERTIFIKATES,G,PROTECTION BEYOND IP RIGHT TERM,ALIVE,False
