,Authority,Event-code,Description ENG
12,AT,AJI,ERRONEOUS WITHDRAWAL
26,AT,EELI,ERRONEOUS LAPSE OF AN EP NUMBER
43,AT,ELI,ERRONEOUS LAPSE
93,AT,SPCE,FILING FOR EXTENDING AN SPC (PAEDIATRIC MEDICAMENT)
94,AT,SPCF,FILING AN SPC
107,AT,SZV,SPC PROLONGED
183,AU,NC,EXTENSION OF TERM  FOR STANDARD PATENT REQUESTED (SECT. 70)
184,AU,NCF,EXTENSION OF TERM FOR PETTY PATENT REQUESTED (SECT. 69)
187,AU,NDA,EXTENSION OF TERM FOR STANDARD PATENT ACCEPTED (SECT.70)
310,BR,B10F,CESSATION: DECISION CANCELLED
321,BR,B11M,DECISION CANCELLED [CHAPTER 11.13 PATENT GAZETTE]
363,BR,B17B,NOTIFICATION OF ADMINISTRATIVE NULLITY CANCELLED
454,BR,CC,OPPOSITION REJECTED
538,BR,HIFC,REFUSAL CANCELLED
543,BR,HIMR,LAPSE DECISION CANCELLED
563,BR,HKME,REQUEST FOR REVOCATION (DELETED)
588,BR,ND,EXTENSION OF TIME ALLOWED
589,BR,NDF,EXTENSION OF TIME ALLOWED - ART 21
611,CA,AFNE,NATIONAL PHASE ENTRY
612,CA,AZWC,WITHDRAWN (CORRECTION)
617,CA,MKEC,EXPIRY (CORRECTION)
620,CA,MKLC,LAPSED (CORRECTION)
621,CA,MZSC,SURRENDER (CORRECTION)
625,CH,AECN,CONTINUATION OF PROCEEDINGS AGREED
636,CH,EP,EUROPEAN PATENT TAKES EFFECT AS A NATIONAL PATENT IN CH/LI
638,CH,G11,EXTENSION OF SPC TERM REQUESTED
650,CH,NE,PATENT NOT CEASED
697,CH,SPCX,EXTENSION OF SUPPLEMENTARY PROTECTION CERTIFICATE REQUESTED
725,CN,C15,EXTENSION OF PATENT RIGHT DURATION FROM 15 TO 20 YEARS FOR APPL. WITH DATE BEFORE 31.12.1992 AND STILL VALID ON 11.12.2001 (PATENT LAW CHANGE 1993)
795,CN,PD01,DISCHARGE OF PRESERVATION OF PATENT
799,CN,PP01,PRESERVATION OF PATENT RIGHT
806,CN,RINS,PRESERVATION OF PATENT RIGHT OR UTILITY MODEL AND ITS DISCHARGE
814,CN,TG01,PATENT TERM ADJUSTMENT
815,CN,TP01,PATENT TERM EXTENSION [PHARMACEUTICAL PRODUCT PATENT]
853,CZ,ND1K,FIRST OR SECOND EXTENSION OF TERM OF UTILITY MODEL
855,DD,A1,PUBLISHED AS PROV. ECONOMIC PATENT
856,DD,A2,PUBLISHED AS PROV. ECONOMIC PATENT (ADDITIONAL PATENT)
857,DD,A3,PUBLISHED AS ECONOMIC PATENT
864,DD,B3,EXCLUSIVE PATENT (SECT. 18(1))
865,DD,B5,"PATENT SPECIFICATION,  2ND PUBL. ACCORD. TO EXTENSION ACT"
869,DD,C2,ECONOMIC PATENT (SECT. 19)
870,DD,C4,EXCLUSIVE PATENT (SECT. 19)
871,DD,C5,"PATENT SPECIFICATION, 3RD PUBL. ACCORD. TO EXTENSION ACT"
883,DD,EZ,ACTION FOR VOID DECLARATION WITHDRAWN
892,DD,NAB,PUBLIC NOTICE FOR INSPECTION OF PROVISIONAL EXCLUSIVE PATENT ACCORD. TO PAR 17/1 DD-PATG.
893,DD,NAC,PUBLIC NOTICE FOR INSPECTION OF PROVISIONAL EXCLUSIVE PATENT ACCORD. TO PAR 18/2 DD-PATG.
899,DD,O103,LAID OPEN (SECT. 10/3 PATENT ACT
920,DD,VEU,OPPOSITION AGAINST PATENT IRRECEIVABLE
965,DE,8178,SUSPENSION CANCELLED
989,DE,8278,SUSPENSION CANCELLED
1002,DE,8316,REQUEST FOR RESTRICTION WITHDRAWN
1022,DE,8364,NO OPPOSITION DURING TERM OF OPPOSITION
1026,DE,8368,OPPOSITION REFUSED DUE TO INADMISSIBILITY
1028,DE,8370,INDICATION RELATED TO DISCONTINUATION OF THE PATENT IS TO BE DELETED
1032,DE,8378,INSTRUCTION FOR SUSPENSION HAS BEEN QUASHED
1078,DE,E77,VALID PATENT AS TO THE  HEYMANNS-INDEX  1977
1093,DE,OAM,SEARCH REPORT AVAILABLE
1096,DE,OAR,REQUEST FOR SEARCH FILED
1099,DE,OC,SEARCH REPORT AVAILABLE
1111,DE,ON,LATER SUBMITTED PAPERS
