year,pat1,pat2
1969,0,1
1970,0,0
1971,0,0
1972,0,0
1973,0,0
1974,0,0
1975,0,1
1976,0,1
1977,0,0
1978,0,2
1979,0,0
1980,2,1
1981,4,0
1982,4,0
1983,2,0
1984,5,3
1985,4,4
1986,1,9
1987,5,18
1988,5,6
1989,6,3
1990,14,2
1991,9,15
1992,3,13
1993,9,5
1994,5,17
1995,4,23
1996,6,16
1997,4,17
1998,5,27
1999,2,31
2000,7,22
2001,6,33
2002,13,15
2003,4,13
2004,12,21
2005,14,8
2006,10,9
2007,10,14
2008,15,9
2009,14,5
2010,12,4
2011,11,6
2012,4,10
2013,4,11
2014,9,7
2015,20,13
2016,16,11
2017,14,15
2018,18,14
2019,12,9
2020,29,8
2021,34,9
2022,25,7
2023,43,7
2024,28,3
2025,17,2
