year,pat3,pat4,pat5,pat6
1991,0,0,0,1
1992,0,0,0,0
1993,0,0,0,0
1994,0,0,2,0
1995,0,0,1,0
1996,0,0,0,0
1997,0,0,0,0
1998,0,0,0,1
1999,0,0,1,1
2000,0,0,0,1
2001,0,0,0,2
2002,0,0,1,5
2003,0,0,0,9
2004,0,0,1,5
2005,0,0,0,6
2006,0,0,0,5
2007,0,0,0,8
2008,0,0,1,4
2009,0,0,2,6
2010,0,0,4,5
2011,0,0,26,2
2012,0,0,28,0
2013,0,0,40,2
2014,0,0,36,7
2015,0,0,49,4
2016,0,0,29,5
2017,0,0,20,2
2018,0,0,33,2
2019,0,0,44,9
2020,0,0,33,10
2021,0,0,48,14
2022,0,0,30,11
2023,0,0,31,17
2024,0,0,26,18
2025,0,0,14,10
