year,pub1,pub2
1886,0,1
1887,0,0
1888,0,0
1889,0,2
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,1
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,1
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,1,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,1,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,2,0
1961,1,0
1962,1,0
1963,0,0
1964,0,0
1965,0,0
1966,0,0
1967,0,0
1968,1,0
1969,1,1
1970,1,0
1971,1,1
1972,1,0
1973,2,1
1974,2,0
1975,1,0
1976,2,1
1977,1,0
1978,0,0
1979,2,0
1980,1,1
1981,2,1
1982,2,2
1983,3,1
1984,1,1
1985,3,0
1986,3,2
1987,6,1
1988,5,3
1989,4,1
1990,6,4
1991,4,5
1992,9,5
1993,6,3
1994,6,6
1995,8,8
1996,6,6
1997,3,0
1998,9,2
1999,8,0
2000,13,5
2001,1,3
2002,5,3
2003,9,2
2004,5,4
2005,10,4
2006,12,3
2007,17,3
2008,12,4
2009,12,9
2010,15,5
2011,10,4
2012,13,12
2013,15,15
2014,13,16
2015,19,16
2016,14,14
2017,11,26
2018,22,40
2019,25,27
2020,15,33
2021,21,44
2022,21,50
2023,26,64
2024,23,65
2025,21,41
