year,pub7,pub8,pub9,pub10
1939,0,0,1,0
1940,0,0,0,0
1941,0,0,0,0
1942,0,0,0,0
1943,0,0,0,0
1944,0,0,0,0
1945,0,0,0,0
1946,0,0,0,0
1947,0,0,0,0
1948,0,0,0,0
1949,0,0,0,0
1950,0,0,0,0
1951,0,0,0,0
1952,0,0,0,0
1953,0,0,0,0
1954,0,0,0,0
1955,0,0,0,0
1956,0,0,0,0
1957,0,0,0,0
1958,0,0,0,0
1959,0,0,0,0
1960,0,0,0,0
1961,0,0,0,0
1962,0,0,0,0
1963,0,0,0,0
1964,0,0,0,0
1965,0,0,0,0
1966,0,0,0,0
1967,0,0,0,0
1968,0,0,1,0
1969,0,0,0,0
1970,2,0,0,0
1971,0,0,0,0
1972,2,0,0,0
1973,1,0,0,0
1974,0,0,0,0
1975,0,0,0,0
1976,0,0,0,0
1977,1,0,0,0
1978,1,0,0,0
1979,1,0,0,0
1980,1,0,0,0
1981,2,0,0,0
1982,1,0,0,0
1983,1,0,0,0
1984,0,0,0,0
1985,3,0,0,0
1986,5,0,0,1
1987,4,0,0,0
1988,4,0,0,0
1989,3,0,0,0
1990,1,0,0,0
1991,0,0,0,1
1992,1,0,0,1
1993,3,0,0,3
1994,1,0,0,4
1995,2,0,1,9
1996,3,0,0,8
1997,2,0,0,5
1998,3,0,1,10
1999,2,0,6,6
2000,0,0,2,7
2001,0,0,3,10
2002,0,1,2,11
2003,1,1,3,16
2004,4,0,2,10
2005,4,4,9,15
2006,1,1,10,20
2007,4,2,25,13
2008,6,3,20,10
2009,8,4,27,13
2010,7,4,40,21
2011,5,11,40,23
2012,2,5,37,21
2013,5,5,29,29
2014,6,8,33,20
2015,7,15,21,30
2016,6,21,22,29
2017,26,27,22,29
2018,42,51,16,24
2019,66,66,19,41
2020,68,63,12,38
2021,51,56,9,32
2022,59,60,5,24
2023,66,67,9,30
2024,116,112,4,22
2025,83,92,2,11
